id,season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,venue
7922,2018,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,CA Lynn,M Chinnaswamy Stadium
7923,2018,Pune,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,13,0,SR Watson,Maharashtra Cricket Association Stadium
7924,2018,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,14,0,TG Southee,M Chinnaswamy Stadium
7925,2018,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Delhi Daredevils,4,0,RR Pant,Feroz Shah Kotla
7926,2018,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens
7927,2018,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,AS Yadav,Holkar Cricket Stadium
7928,2018,Pune,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,6,RA Jadeja,Maharashtra Cricket Association Stadium
7929,2018,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,7,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal"
7930,2018,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,13,0,HH Pandya,Wankhede Stadium
7931,2018,Indore,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,M Ur Rahman,Holkar Cricket Stadium
7932,2018,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,5,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal"
7933,2018,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,15,0,JC Buttler,Sawai Mansingh Stadium
7934,2018,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,102,0,Ishan Kishan,Eden Gardens
7935,2018,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,9,S Dhawan,Feroz Shah Kotla
7936,2018,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0,4,JC Buttler,Sawai Mansingh Stadium
7937,2018,Indore,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,31,0,SP Narine,Holkar Cricket Stadium
7938,2018,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,AB de Villiers,Feroz Shah Kotla
7939,2018,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,AT Rayudu,Maharashtra Cricket Association Stadium
7940,2018,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,JC Buttler,Wankhede Stadium
7941,2018,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10,UT Yadav,Holkar Cricket Stadium
7942,2018,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Kuldeep Yadav,Eden Gardens
7943,2018,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,3,0,JJ Bumrah,Wankhede Stadium
7944,2018,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,14,0,AB de Villiers,M Chinnaswamy Stadium
7945,2018,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,34,0,HV Patel,Feroz Shah Kotla
7946,2018,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,30,0,S Gopal,Sawai Mansingh Stadium
7947,2018,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,5,CA Lynn,"Rajiv Gandhi International Stadium, Uppal"
7948,2018,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,11,0,A Mishra,Feroz Shah Kotla
7949,2018,Pune,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,5,L Ngidi,Maharashtra Cricket Association Stadium
7950,2018,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,2,F du Plessis,Wankhede Stadium
7951,2018,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,25,0,AD Russell,Eden Gardens
7952,2018,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,14,0,Rashid Khan,Eden Gardens
7953,2018,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,SR Watson,Wankhede Stadium
11137,2019,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,7,Harbhajan Singh,M. A. Chidambaram Stadium
11138,2019,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,AD Russell,Eden Gardens
11139,2019,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,37,0,RR Pant,Wankhede Stadium
11140,2019,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,14,0,CH Gayle,Sawai Mansingh Stadium
11141,2019,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,0,6,SR Watson,Feroz Shah Kotla Ground
11142,2019,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,28,0,AD Russell,Eden Gardens
11143,2019,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,6,0,JJ Bumrah,M. Chinnaswamy Stadium
11144,2019,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,0,5,Rashid Khan,Rajiv Gandhi Intl. Cricket Stadium
11145,2019,Mohali,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,8,MA Agarwal,IS Bindra Stadium
11146,2019,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,0,P Shaw,Feroz Shah Kotla Ground
11147,2019,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,118,0,J Bairstow,Rajiv Gandhi Intl. Cricket Stadium
11148,2019,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,8,0,MS Dhoni,M. A. Chidambaram Stadium
11149,2019,Mohali,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,14,0,S Curran,IS Bindra Stadium
11150,2019,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,S Gopal,Sawai Mansingh Stadium
11151,2019,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,37,0,HH Pandya,Wankhede Stadium
11152,2019,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5,J Bairstow,Feroz Shah Kotla Ground
11153,2019,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,AD Russell,M. Chinnaswamy Stadium
11309,2019,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,22,0,Harbhajan Singh,M. A. Chidambaram Stadium
11310,2019,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,40,0,A Joseph,Rajiv Gandhi Intl. Cricket Stadium
11311,2019,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,4,K Rabada,M. Chinnaswamy Stadium
11312,2019,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,H Gurney,Sawai Mansingh Stadium
